Date,CPI_Forecast,CI_Lower_95,CI_Upper_95,Inflation_YoY_pct
2026-06-01,304.64,303.12,306.16,9.47
2026-07-01,310.74,308.61,312.87,9.23
2026-08-01,317.64,315.02,320.25,9.08
2026-09-01,320.78,317.74,323.81,9.01
2026-10-01,326.4,323.0,329.81,8.86
2026-11-01,325.3,321.55,329.06,8.92
2026-12-01,322.89,318.82,326.97,9.03
2027-01-01,323.7,319.31,328.09,9.05
2027-02-01,324.68,320.0,329.36,8.99
2027-03-01,327.58,322.62,332.54,8.99
2027-04-01,329.64,324.4,334.88,8.91
2027-05-01,329.69,324.19,335.19,8.9
2027-06-01,331.68,325.42,337.94,8.88
2027-07-01,337.87,330.94,344.8,8.73
2027-08-01,344.86,337.3,352.42,8.57
2027-09-01,348.09,339.94,356.24,8.52
2027-10-01,353.81,345.09,362.52,8.4
2027-11-01,352.8,343.54,362.05,8.45
2027-12-01,350.47,340.69,360.25,8.54
