Model,R2,RMSE,MAE,MAPE
"SARIMA(2, 1, 2)x(0, 1, 1, 12)",0.9985,1.3053,0.937,0.384
SARIMA-LSTM,0.9985,1.3106,0.9298,0.381
SARIMA-HMM-LSTM,0.9983,1.3984,0.9799,0.401
Wavelet-SARIMA-LSTM,0.9977,1.6227,1.2504,0.506
ARIMA-LSTM,0.995,2.4047,1.8126,0.743
ARIMA-HMM-LSTM,0.9944,2.5321,1.8254,0.743
"ARIMA(3, 2, 3)",0.994,2.6239,1.9146,0.786
VMD-LSTM,0.9939,2.6349,2.0054,0.804
LSTM,0.9937,2.6889,2.0589,0.838
MARS-Spline-LASSO (diff),0.9932,2.7923,2.1712,0.886
Transformer,0.9923,2.9684,2.3559,0.971
LASSO,0.977,5.1332,4.3137,1.676
