Date,CPI_General_NationalBase,CPI_General_2010base,Inflation_YoY_pct,CPI_Food_NationalBase
2000-01-01,,53.5541,,
2000-02-01,,53.2376,,
2000-03-01,,53.3055,,
2000-04-01,,53.3733,,
2000-05-01,,53.3507,,
2000-06-01,,53.4637,,
2000-07-01,,53.5993,,
2000-08-01,,53.6898,,
2000-09-01,,53.8254,,
2000-10-01,,53.9836,,
2000-11-01,,54.6166,,
2000-12-01,,54.6166,,
2001-01-01,,54.707,,
2001-02-01,,54.0515,,
2001-03-01,,54.0967,,
2001-04-01,,54.2323,,
2001-05-01,,54.4358,,
2001-06-01,,54.6166,,
2001-07-01,,54.7749,,
2001-08-01,,54.8879,,
2001-09-01,,55.0235,,
2001-10-01,,55.1592,,
2001-11-01,,55.2948,,
2001-12-01,,55.8148,,
2002-01-01,,55.9956,,
2002-02-01,,55.6339,,
2002-03-01,,55.7017,,
2002-04-01,,55.8374,,
2002-05-01,,56.0408,,
2002-06-01,,55.9504,,
2002-07-01,,56.6964,,
2002-08-01,,57.2389,,
2002-09-01,,57.3068,,
2002-10-01,,57.3972,,
2002-11-01,,57.5328,,
2002-12-01,,57.9397,,
2003-01-01,,57.6117,,
2003-02-01,,57.7899,,
2003-03-01,,57.8723,,
2003-04-01,,57.9659,,
2003-05-01,,58.2132,,
2003-06-01,,58.4048,,
2003-07-01,,60.4826,,
2003-08-01,,60.9722,,
2003-09-01,,61.4056,,
2003-10-01,,61.8432,,
2003-11-01,,62.2722,,
2003-12-01,,62.5928,,
2004-01-01,,62.7878,,
2004-02-01,,62.8615,,
2004-03-01,,63.0175,,
2004-04-01,,63.1302,,
2004-05-01,,63.3512,,
2004-06-01,,63.5548,,
2004-07-01,,63.8971,,
2004-08-01,,64.3348,,
2004-09-01,,65.9164,,
2004-10-01,,66.744,,
2004-11-01,,66.2327,,
2004-12-01,,66.0377,,
2005-01-01,,66.2544,,
2005-02-01,,66.8697,,
2005-03-01,,67.251,,
2005-04-01,,67.3073,,
2005-05-01,,67.7233,,
2005-06-01,,68.226,,
2005-07-01,,68.8066,,
2005-08-01,,69.4393,,
2005-09-01,,70.5399,,
2005-10-01,,71.6015,,
2005-11-01,,71.4975,,
2005-12-01,,70.7046,,
2006-01-01,,70.6179,,
2006-02-01,,70.6916,,
2006-03-01,,71.4022,,
2006-04-01,,72.3252,,
2006-05-01,,72.8798,,
2006-06-01,,73.3695,,
2006-07-01,,73.4648,,
2006-08-01,,74.0714,,
2006-09-01,,75.3974,,
2006-10-01,,76.836,,
2006-11-01,,76.0517,,
2006-12-01,,75.0421,,
2007-01-01,,74.8124,,
2007-02-01,,75.8394,,
2007-03-01,,76.706,,
2007-04-01,,78.3136,,
2007-05-01,,78.747,,
2007-06-01,,80.1162,,
2007-07-01,,80.8832,,
2007-08-01,,81.5679,,
2007-09-01,,82.6338,,
2007-10-01,,84.5621,,
2007-11-01,,84.5794,,
2007-12-01,,83.7388,,
2008-01-01,,83.3661,,
2008-02-01,,83.5481,,
2008-03-01,,84.4234,,
2008-04-01,,84.3108,,
2008-05-01,,84.6054,,
2008-06-01,,88.1586,,
2008-07-01,,89.6362,,
2008-08-01,,89.8139,,
2008-09-01,,91.0575,,
2008-10-01,,90.6979,,
2008-11-01,,89.7576,,
2008-12-01,,88.7869,,
2009-01-01,,88.4143,,
2009-02-01,,88.4056,,
2009-03-01,,88.6786,,
2009-04-01,,88.8259,,
2009-05-01,,89.1683,,
2009-06-01,,90.1389,,
2009-07-01,,92.7345,,
2009-08-01,,94.0258,,
2009-09-01,,95.2434,,
2009-10-01,,96.786,,
2009-11-01,,96.2574,,
2009-12-01,,96.3397,,
2010-01-01,46.3466,96.3613,,
2010-02-01,46.3716,96.4133,,
2010-03-01,46.3946,96.461,,
2010-04-01,46.3695,96.409,,
2010-05-01,46.5988,96.8857,,
2010-06-01,47.124,97.9776,,
2010-07-01,47.8422,99.4709,,46.8883
2010-08-01,48.753,101.3646,,48.2306
2010-09-01,49.3235,102.5507,,49.0217
2010-10-01,50.1431,104.2547,,50.206
2010-11-01,50.4663,104.9267,,50.6372
2010-12-01,51.4271,106.9243,,51.9302
2011-01-01,51.7549,107.6059,11.6692,52.2445
2011-02-01,52.0794,108.2806,12.3088,52.5733
2011-03-01,52.2911,108.7208,12.7096,52.8011
2011-04-01,52.2659,108.6684,12.716,52.6687
2011-05-01,51.9387,107.9881,11.4594,51.8818
2011-06-01,52.4519,109.0552,11.3062,52.3792
2011-07-01,53.5092,111.2534,11.8451,53.7883
2011-08-01,54.624,113.5711,12.0422,54.9236
2011-09-01,55.5677,115.5332,12.6596,56.3067
2011-10-01,55.6534,115.7115,10.9893,56.2949
2011-11-01,55.4497,115.288,9.8748,55.7002
2011-12-01,55.3428,115.0656,7.6141,55.1826
2012-01-01,56.1952,116.8379,8.5795,55.8829
2012-02-01,55.6935,115.7948,6.9395,54.7405
2012-03-01,55.826,116.0703,6.76,54.7222
2012-04-01,55.5259,115.4465,6.2374,54.146
2012-05-01,55.0585,114.4745,6.0066,53.282
2012-06-01,55.3613,115.1041,5.5467,53.7218
2012-07-01,56.2944,117.0442,5.205,54.9878
2012-08-01,57.3376,119.2132,4.9678,56.1597
2012-09-01,58.3235,121.263,4.9594,57.2917
2012-10-01,58.9147,122.4923,5.8601,57.7073
2012-11-01,59.0805,122.837,6.5479,57.8957
2012-12-01,59.2918,123.2762,7.1356,58.0959
2013-01-01,59.9126,124.567,6.6152,58.6907
2013-02-01,60.0621,124.8778,7.8441,58.8162
2013-03-01,60.1336,125.0265,7.7162,58.8282
2013-04-01,60.1726,125.1076,8.3685,58.8431
2013-05-01,59.451,123.6073,7.978,57.6117
2013-06-01,59.8183,124.371,8.0508,58.1587
2013-07-01,60.7122,126.2294,7.8476,59.4648
2013-08-01,61.5735,128.0202,7.3876,60.7023
2013-09-01,62.4836,129.9124,7.1328,61.8351
2013-10-01,63.0589,131.1085,7.0341,62.5434
2013-11-01,63.3026,131.6154,7.1464,62.8393
2013-12-01,63.6472,132.3317,7.3457,63.3265
2014-01-01,64.4045,133.9063,7.4974,63.8586
2014-02-01,64.5312,134.1698,7.4409,64.014
2014-03-01,64.6288,134.3726,7.4753,64.0977
2014-04-01,64.658,134.4334,7.4542,64.1126
2014-05-01,63.9007,132.8588,7.4846,62.8483
2014-06-01,63.9852,133.0345,6.9659,62.8124
2014-07-01,64.9863,135.1159,7.04,64.1844
2014-08-01,65.8281,136.8662,6.9098,65.356
2014-09-01,66.7577,138.7989,6.8404,66.5516
2014-10-01,67.2192,139.7585,6.5976,67.0209
2014-11-01,67.2355,139.7923,6.2128,66.8953
2014-12-01,67.5345,140.4141,6.1076,67.0388
2015-01-01,68.2951,141.9954,6.0409,67.7322
2015-02-01,68.4966,142.4144,6.1449,67.9235
