model,seed,RMSE,MAE,DM,p
LSTM,42,2.6889,2.0589,,
LSTM,7,2.6591,2.0457,,
LSTM,13,2.804,2.1734,,
LSTM,21,2.8605,2.2716,,
LSTM,99,2.6855,2.0403,,
LSTM,123,2.7952,2.1811,,
LSTM,256,2.8032,2.1623,,
LSTM,314,2.7991,2.1542,,
LSTM,777,2.754,2.1539,,
LSTM,2024,2.6576,2.0807,,
Transformer,42,2.7119,2.0714,,
Transformer,7,2.6391,2.1151,,
Transformer,13,2.7009,2.0691,,
Transformer,21,3.1229,2.4697,,
Transformer,99,2.6725,2.0301,,
Transformer,123,2.6981,2.0545,,
Transformer,256,2.6978,2.0507,,
Transformer,314,2.8576,2.2766,,
Transformer,777,2.8867,2.3112,,
Transformer,2024,2.7768,2.1303,,
SARIMA-LSTM,42,1.303,0.9324,0.511,0.6112
SARIMA-LSTM,7,1.3111,0.9512,-0.627,0.5332
SARIMA-LSTM,13,1.3664,0.9606,-1.094,0.2781
SARIMA-LSTM,21,1.3026,0.9393,0.435,0.6649
SARIMA-LSTM,99,1.3084,0.9345,-0.632,0.5299
SARIMA-LSTM,123,1.6792,1.1544,-2.575,0.0124
SARIMA-LSTM,256,1.4052,0.9967,-2.004,0.0494
SARIMA-LSTM,314,1.6598,1.1745,-3.374,0.0013
SARIMA-LSTM,777,1.3579,0.9656,-1.654,0.103
SARIMA-LSTM,2024,1.3056,0.9377,-0.093,0.9264
