model,decomposition,seed,rmse
Wavelet-SARIMA-LSTM,causal,42,1.592774496886983
Wavelet-SARIMA-LSTM,causal,7,1.649798715197895
Wavelet-SARIMA-LSTM,causal,13,1.6957007956836532
Wavelet-SARIMA-LSTM,causal,21,1.4944090496550404
Wavelet-SARIMA-LSTM,causal,99,1.7579732345341972
Wavelet-SARIMA-LSTM,causal,123,1.6676849511670722
Wavelet-SARIMA-LSTM,causal,256,1.7303520116494793
Wavelet-SARIMA-LSTM,causal,314,1.4971674269816304
Wavelet-SARIMA-LSTM,causal,777,1.7899597993095255
Wavelet-SARIMA-LSTM,causal,2024,1.4720683394450456
Wavelet-SARIMA-LSTM,full-series,42,1.4277037832577826
Wavelet-SARIMA-LSTM,full-series,7,1.5542225785438148
Wavelet-SARIMA-LSTM,full-series,13,1.536043412180662
Wavelet-SARIMA-LSTM,full-series,21,1.5699189105188478
Wavelet-SARIMA-LSTM,full-series,99,1.4210160992211298
Wavelet-SARIMA-LSTM,full-series,123,1.6335333317313592
Wavelet-SARIMA-LSTM,full-series,256,1.5654177774864517
Wavelet-SARIMA-LSTM,full-series,314,1.7308591543233012
Wavelet-SARIMA-LSTM,full-series,777,1.4661311093905587
Wavelet-SARIMA-LSTM,full-series,2024,1.5567146205015017
VMD-LSTM,causal,42,2.4641965944648816
VMD-LSTM,causal,7,2.4491879824256078
VMD-LSTM,causal,13,2.511404283351023
VMD-LSTM,causal,21,2.560852092074256
VMD-LSTM,causal,99,2.7344172169212126
VMD-LSTM,causal,123,2.485222500181908
VMD-LSTM,causal,256,2.473211594866147
VMD-LSTM,causal,314,2.356324934244668
VMD-LSTM,causal,777,2.5324105999744764
VMD-LSTM,causal,2024,2.4694437113635246
VMD-LSTM,full-series,42,1.7586580089550938
VMD-LSTM,full-series,7,1.7793529264959747
VMD-LSTM,full-series,13,1.677353735684302
VMD-LSTM,full-series,21,1.6321574380849597
VMD-LSTM,full-series,99,1.6928619018849762
VMD-LSTM,full-series,123,1.8222084647518433
VMD-LSTM,full-series,256,1.9125057559282268
VMD-LSTM,full-series,314,1.5659043795182641
VMD-LSTM,full-series,777,2.0073391692663676
VMD-LSTM,full-series,2024,1.7078508181358154
