units,dropout,lookback,val_rmse_mean,val_rmse_sd
64,0.1,6,1.6414176837087524,0.027691654798527556
128,0.2,24,1.643349438034412,0.026988634266616154
64,0.3,6,1.6478389685420318,0.032583927771322074
64,0.2,12,1.6484165405900102,0.005887007950803351
64,0.2,24,1.649396504849961,0.0353493903427551
64,0.2,6,1.650104934362617,0.03710483073017792
64,0.1,12,1.6507492198445266,0.004671950616643831
32,0.2,6,1.6520431187441595,0.014351121950319413
64,0.3,12,1.6521369759082034,0.0032034155962868986
64,0.1,24,1.6533287957290437,0.01725966887275943
32,0.1,6,1.6536911478839709,0.017365912188035532
32,0.3,6,1.654953096146773,0.02449467182874282
128,0.2,12,1.6569438820449724,0.01801268563985259
128,0.3,6,1.658155768569797,0.029731039110608804
128,0.2,6,1.6582817035106576,0.030632428833496293
128,0.1,6,1.6651414548495589,0.03794609941350358
128,0.1,12,1.6663408657735808,0.021170376533134434
64,0.3,24,1.6689189737435945,0.058242771055452565
128,0.3,24,1.670397919941724,0.03831919058406682
32,0.2,12,1.672075093559398,0.0202288359417049
32,0.3,12,1.675256500363792,0.027365487068541278
32,0.2,24,1.6754320678445707,0.05366370468956341
128,0.1,24,1.6762070582009425,0.05918328882006539
128,0.3,12,1.679437736152197,0.018911533142387922
32,0.1,24,1.681940393177647,0.06011930062782979
32,0.3,24,1.6898053097527035,0.06986096070183818
32,0.1,12,1.7007986205446164,0.04719024153797032
